Name,country,gender,Flights,total_flights,total_time
Vitali Sevastyanov,Soviet Union,Man,"Soyuz 9 (1970), Soyuz 18 (1975)",2,116179
Viktor Savinykh,Soviet Union,Man,"Soyuz T-4 (1981), Soyuz T-13 (1985)",2,349768
Viktor Patsayev,Soviet Union,Man,Soyuz 11 (1971),1,34401
Viktor M. Afanasyev,Russia,Man,"Soyuz TM-11 (1990), Soyuz TM-18 (1994), Soyuz TM-29 (1999), Soyuz TM-33 (2001)",4,800314
Viktor Gorbatko,Soviet Union,Man,"Soyuz 7 (1969), Soyuz 24 (1977), Soyuz 37 (1980)",3,43969
Vasili Tsibliyev,Russia,Man,"Soyuz TM-17 (1993), Soyuz TM-25 (1997)",2,549593
Vasili Lazarev,Soviet Union,Man,"Soyuz 12 (1973), Soyuz 18-1 (1975)",2,2856
Valery Tokarev,Russia,Man,"STS-96 (1999), Soyuz TMA-7 (2005)",2,287226
Valery Ryumin,Soviet Union,Man,"Soyuz 25 (1977), Soyuz 32 (1979), Soyuz 35 (1980), STS-91 (1998)",4,535285
Valery Rozhdestvensky,Soviet Union,Man,Soyuz 23 (1976),1,2886
Valery Korzun,Russia,Man,"Soyuz TM-24 (1996), STS-111 (2002)",2,549581
Valery Bykovsky,Soviet Union,Man,"Vostok 5 (1963), Soyuz 22 (1976), Soyuz 31 (1978)",3,29868
"Valeri Polyakov, M.D.",Russia,Man,"Soyuz TM-6 (1988), Soyuz TM-18 (1994)",2,977313
Valeri Kubasov,Soviet Union,Man,"Soyuz 6 (1969), Soyuz 19 (1975), Soyuz 36 (1980)",3,26998
Valentina Tereshkova,Soviet Union,Woman,Vostok 6 (1963),1,4250
Valentin Lebedev,Soviet Union,Man,"Soyuz 13 (1973), Soyuz T-5 (1982)",2,315720
Umberto Guidoni,Italy,Man,"STS-75 (1996), STS-100 (2001)",2,39791
Ulrich Walter,Germany,Man,STS-55 (1993),1,14380
Ulf Merbold,Germany,Man,"STS-9 (1983), STS-42 (1992), Soyuz TM-20 (1994)",3,71798
Toktar Aubakirov,Soviet Union,Man,Soyuz TM-13 (1991),1,11412
Timothy Peake,United Kingdom,Man,Soyuz TMA-19M (2015),1,267731
Thomas Reiter,Germany,Man,"Soyuz TM-22 (1995), STS-121 (2006)",2,504335
Thomas Pesquet,France,Man,"Soyuz MS-03 (2016), SpaceX Crew-2 (2021)",2,2603560
Talgat Musabayev,Kazakhstan,Man,"Soyuz TM-19 (1994), Soyuz TM-27 (1998), Soyuz TM-32 (2001)",3,491628
Takuya Onishi,Japan,Man,Soyuz MS-01 (2016),1,165742
Takao Doi,Japan,Man,"STS-87 (1997), STS-123 (2008)",2,45286
Svetlana Savitskaya,Soviet Union,Woman,"Soyuz T-7 (1982), Soyuz T-12 (1984)",2,28387
Sultan bin Salman bin Abdulaziz Al Saud,Saudi Arabia,Man,STS-51-G (1985),1,10178
Steven MacLean,Canada,Man,"STS-52 (1992), STS-115 (2006)",2,31086
Soichi Noguchi,Japan,Man,"STS-114 (2005), Soyuz TMA-17 (2009), SpaceX Crew-1 (2020)",3,495934
Sigmund Jähn,East Germany,Man,Soyuz 31 (1978),1,11329
